society,price,facing,agePossession,nearbyLocations,rating,property_type,area,area_sqft,rate_per_sqft,floor_number,total_floors,bedroom_num,bathroom_num,balcony_num,feature_count,furnish_count,is_high_value
Emaar MGF Emerald Floors Premier3.8 ★,270.0,North-West,1 to 5 Year Old,"['WorldMark Gurgaon', 'Sohna Road', 'Golf Course Road', 'CK Birla Hospital', 'Delhi International Airport', 'Lemon Tree Hotel']","['Green Area4.5 out of 5', 'Construction5 out of 5', 'Management4.5 out of 5', 'Amenities4.5 out of 5', 'Connectivity4 out of 5']",flat,,1650.0135599999999,16363.0,5.0,,3.0,3.0,3.0,0,0,1
Emaar MGF Emerald Floors Premier3.8 ★,235.0,East,1 to 5 Year Old,"['WorldMark Gurgaon', 'Sohna Road', 'Golf Course Road', 'CK Birla Hospital', 'Delhi International Airport', 'Lemon Tree Hotel']","['Green Area4.5 out of 5', 'Construction5 out of 5', 'Management4.5 out of 5', 'Amenities4.5 out of 5', 'Connectivity4 out of 5']",flat,,1650.0135599999999,14242.0,5.0,,3.0,3.0,3.0,0,0,1
Emaar MGF Emerald Floors Premier3.8 ★,279.0,South-West,1 to 5 Year Old,"['WorldMark Gurgaon', 'Sohna Road', 'Golf Course Road', 'CK Birla Hospital', 'Delhi International Airport', 'Lemon Tree Hotel']","['Green Area4.5 out of 5', 'Construction5 out of 5', 'Management4.5 out of 5', 'Amenities4.5 out of 5', 'Connectivity4 out of 5']",flat,,1974.9787199999998,14126.0,5.0,,4.0,4.0,3.0,0,0,1
Emaar MGF Emerald Floors Premier3.8 ★,229.99999999999997,South-West,1 to 5 Year Old,"['WorldMark Gurgaon', 'Sohna Road', 'Golf Course Road', 'CK Birla Hospital', 'Delhi International Airport', 'Lemon Tree Hotel']","['Green Area4.5 out of 5', 'Construction5 out of 5', 'Management4.5 out of 5', 'Amenities4.5 out of 5', 'Connectivity4 out of 5']",flat,,1650.0135599999999,13939.0,5.0,,3.0,4.0,3.0,0,0,1
The Lions CGHS,210.0,West,10+ Year Old,"['Sector 54 chowk metro station', 'Sector metro station', 'Sector metro station', 'Sector 53-54 metro station', 'Sanatan Dharm Mandir', 'Radhakrishna Shani Mandir', 'State bank ATM', 'Icici bank ATM', 'Icici bank ATM', 'Citi bank ATM', 'Indusind bank ATM', 'Surgicare Hospital Gurgaon', 'Anand Hospital Gurgaon', 'Kriti Hospital', 'pracksht hospital', 'Arunodaya Deseret Eye Hospital', 'Arihant Hospital', 'Paras Hospital Gurgaon', 'HUDA Office Complex', 'Medisca', 'Apollo Pharmacy', 'Heera Fuel Station', 'HCG CNG Station', '222', 'Hdfc bank and atm', 'Kotak mahindra bank', 'Indusind bank', 'Axis bank', 'State bank of india', 'Icici bank', 'Hdfc bank', 'Hdfc bank & atm', 'Pizza Hut', 'Wat-a-Burger', 'Burger Singh', 'Bikanerwala', 'Naivedyam Restaurant', 'Clock tower', 'Starbucks', ""Carl's Jr."", 'Cafe Tonini', 'Sagar Ratna', 'Shophouse by Kylin', 'IILM', 'Iilm University', 'Sushant College of Arts & Architecture', 'Ansal Institute of Technology', 'Suncity School']","['Environment4 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']",flat,,2200.0,8750.0,9.0,,3.0,4.0,3.0,0,0,1
Rail Vihar CGHS3.9 ★,135.0,West,10+ Year Old,"['Sector 54 chowk metro station', 'Sector metro station', 'Sector metro station', 'Sector 53-54 metro station', 'Sanatan Dharm Mandir', 'Radhakrishna Shani Mandir', 'State bank ATM', 'Icici bank ATM', 'Icici bank ATM', 'Citi bank ATM', 'Indusind bank ATM', 'Surgicare Hospital Gurgaon', 'Arunodaya Deseret Eye Hospital', 'Kriti Hospital', 'Anand Hospital Gurgaon', 'pracksht hospital', 'Paras Hospital Gurgaon', 'HUDA Office Complex', 'Medisca', 'Apollo Pharmacy', 'Intellion Park', 'HCG CNG Station', 'Heera Fuel Station', 'Kotak mahindra bank', 'State bank of india', 'Indusind bank', 'Axis bank', 'Icici bank', 'Hdfc bank', 'Hdfc bank & atm', 'Hdfc bank and atm', '222', 'Wat-a-Burger', 'Burger Singh', 'Bikanerwala', 'Naivedyam Restaurant', 'Pizza Hut', 'Clock tower', 'Starbucks', ""Carl's Jr."", 'Cafe Tonini', 'Sagar Ratna', 'Shophouse by Kylin', 'IILM', 'Iilm University', 'Sushant College of Arts & Architecture', 'Ansal Institute of Technology', 'Suncity School']","['Green Area4 out of 5', 'Construction4 out of 5', 'Management4 out of 5', 'Amenities4 out of 5', 'Connectivity4.5 out of 5']",flat,,1275.0,10384.0,4.0,,3.0,2.0,2.0,0,0,0
Puri Emerald Bay3.7 ★,223.0,East,1 to 5 Year Old,"['Sector-21 Metro Dwarka', 'Gurgaon Dreamz Mall', 'Dwarka Expressway', 'Chauma Road', 'Delhi Public School', 'DPG Degree College', 'The NorthCap University', 'Chirag Hospital', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Infinity Business Park', 'Park Inn', ""Oyster's Water Park"", 'DLF Golf and Country Club']","['Green Area5 out of 5', 'Construction5 out of 5', 'Management5 out of 5', 'Amenities5 out of 5', 'Connectivity4 out of 5']",flat,,2250.0,9911.0,29.0,,3.0,4.0,3.0,0,0,1
Experion The Heartsong3.9 ★,208.0,East,1 to 5 Year Old,"['Galleria 108 Mall', 'Dwarka Expressway', 'Central Peripheral Road', 'The Shikshiyan School', 'Manipal Hospital', 'Indira Gandhi International Airport', 'Vivanta New Delhi, Dwarka', 'SkyJumper Trampoline Park', 'Fun N Food Village']","['Green Area5 out of 5', 'Construction4 out of 5', 'Management4 out of 5', 'Amenities5 out of 5', 'Connectivity4 out of 5']",flat,,2100.0,9904.0,14.0,,4.0,4.0,3.0,0,0,1
Experion The Heartsong3.9 ★,130.0,South-West,1 to 5 Year Old,"['Galleria 108 Mall', 'Dwarka Expressway', 'Central Peripheral Road', 'The Shikshiyan School', 'Manipal Hospital', 'Indira Gandhi International Airport', 'Vivanta New Delhi, Dwarka', 'SkyJumper Trampoline Park', 'Fun N Food Village']","['Green Area5 out of 5', 'Construction4 out of 5', 'Management4 out of 5', 'Amenities5 out of 5', 'Connectivity4 out of 5']",flat,,1558.0,8344.0,14.0,,3.0,3.0,3.0,0,0,0
Suncity Avenue 1023.9 ★,48.0,North-East,1 to 5 Year Old,"['The Hive', 'JMS Marine Square', 'Gurugram Rd', 'Stymerra Chowk', 'Prime Scholars Int. School', 'Shri Hanuman Ji Mandir', 'AIIMS', 'Signature Hospital', 'Delhi International Airport', 'Sector 102 Dhankot', 'MCC Cricket Ground Dhankot', 'KFG Sports Club']","['Green Area4 out of 5', 'Construction4 out of 5', 'Management4 out of 5', 'Amenities5 out of 5', 'Connectivity4 out of 5']",flat,,532.0,9022.0,12.0,,2.0,2.0,1.0,0,0,0
Sobha City,233.0,North-East,1 to 5 Year Old,"['Dwarka Sector 21', 'Dwarka Expressway', 'Vasant Kunj', 'The Shikshiyan School', 'The NorthCap University', 'Rions Hospital', 'IGI Airport', 'Gurgaon', 'WTC Plaza', 'Luxus Haritma Resort', 'Fun N Food WaterPark', 'BSF Golf Course', 'Nehru Stadium']","['Environment4 out of 5', 'Lifestyle4.5 out of 5', 'Connectivity4.5 out of 5', 'Safety4.5 out of 5']",flat,,1611.0,14463.0,24.0,,3.0,3.0,3.0,0,0,1
Parsvnath Green Ville3.9 ★,175.0,South,10+ Year Old,"['Sri Radhe Krishna Temple', 'Icici bank ATM', 'Standard chartered ATM', 'Divine Look Clinic Centre', 'Skin Clinic', 'Dr. Aruna Kalra', 'Wellness Eye Centre', 'Dr. Anuj Sharma', 'Best Urologist Atcomplete Family Clinic', 'Dr. Naresh Pandita', 'Ekta Hospital', 'Sai Heart and Trauma Center', 'Sai Dharamraj Hospital', 'Sanjeevani Hospital Gurgaon', 'Sona Devi Memorial Hospital and Trauma Centre', 'Neelkanth Health Care', 'Vishesh Dental', 'Park Hospital Gurgaon', 'Bones Clinic - Orthopaedics', 'Meher Clinic', 'Gobind Hospital', 'Wembley estate club', 'Genius', 'Gardian Pharmacy', 'Apollo Pharmacy', 'Kore Tech Park', 'SPAZE BUSINESS PARK', 'India Oil', 'SRS Cinemas', 'SRS Cinemas', 'Icici bank', 'Indusind bank', 'Hdfc bank', 'Hdfc bank', 'Hdfc bank', 'Central bank of india', 'Union bank of india', 'State bank of india', 'Icici bank', ""Nirula's"", ""Domino's Pizza"", 'Nook', 'Starbucks', 'India', 'Haldiram', 'Kamla International']","['Green Area4 out of 5', 'Construction4 out of 5', 'Management4 out of 5', 'Amenities4.5 out of 5', 'Connectivity4.5 out of 5']",flat,,2200.0,7201.0,19.0,,3.0,3.0,3.0,0,0,1
Parsvnath Green Ville3.9 ★,160.0,North-West,10+ Year Old,"['Sri Radhe Krishna Temple', 'Icici bank ATM', 'Standard chartered ATM', 'Best Urologist Atcomplete Family Clinic', 'Wellness Eye Centre', 'Dr. Aruna Kalra', 'Dr. Anuj Sharma', 'Dr. Naresh Pandita', 'Neelkanth Health Care', 'Skin Clinic', 'Divine Look Clinic Centre', 'Vishesh Dental', 'Park Hospital Gurgaon', 'Bones Clinic - Orthopaedics', 'Meher Clinic', 'Ekta Hospital', 'Sai Heart and Trauma Center', 'Sai Dharamraj Hospital', 'Samvit Health Care', 'Sanjeevani Hospital Gurgaon', 'Sona Devi Memorial Hospital and Trauma Centre', 'Sukhmani Hospital Pvt. Ltd', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Wembley estate club', 'Genius', 'Apollo Pharmacy', 'Gardian Pharmacy', 'Kore Tech Park', 'SPAZE BUSINESS PARK', 'India Oil', 'Icici bank', 'Hdfc bank', 'Hdfc bank', 'Indusind bank', 'Hdfc bank', 'Central bank of india', 'SRS Cinemas', 'SRS Cinemas', ""Domino's Pizza"", ""Nirula's"", 'Nook', 'Starbucks', 'Haldiram', 'India', 'Delhi Public School Primary Section', 'Kamla International']","['Green Area4 out of 5', 'Construction4 out of 5', 'Management4 out of 5', 'Amenities4.5 out of 5', 'Connectivity4.5 out of 5']",flat,,1700.0,8376.0,19.0,,3.0,3.0,3.0,0,0,1
Parsvnath Green Ville3.9 ★,150.0,North,10+ Year Old,"['Sri Radhe Krishna Temple', 'Icici bank ATM', 'Standard chartered ATM', 'Best Urologist Atcomplete Family Clinic', 'Wellness Eye Centre', 'Dr. Aruna Kalra', 'Dr. Anuj Sharma', 'Dr. Naresh Pandita', 'Neelkanth Health Care', 'Skin Clinic', 'Divine Look Clinic Centre', 'Vishesh Dental', 'Park Hospital Gurgaon', 'Bones Clinic - Orthopaedics', 'Meher Clinic', 'Ekta Hospital', 'Sai Heart and Trauma Center', 'Sai Dharamraj Hospital', 'Samvit Health Care', 'Sanjeevani Hospital Gurgaon', 'Sona Devi Memorial Hospital and Trauma Centre', 'Sukhmani Hospital Pvt. Ltd', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Wembley estate club', 'Genius', 'Apollo Pharmacy', 'Gardian Pharmacy', 'Kore Tech Park', 'SPAZE BUSINESS PARK', 'India Oil', 'Icici bank', 'Hdfc bank', 'Hdfc bank', 'Indusind bank', 'Hdfc bank', 'Central bank of india', 'SRS Cinemas', 'SRS Cinemas', ""Domino's Pizza"", ""Nirula's"", 'Nook', 'Starbucks', 'Haldiram', 'India', 'Delhi Public School Primary Section', 'Kamla International']","['Green Area4 out of 5', 'Construction4 out of 5', 'Management4 out of 5', 'Amenities4.5 out of 5', 'Connectivity4.5 out of 5']",flat,,1600.0,8787.0,5.0,,3.0,3.0,3.0,0,0,0
Orchid Petals4.1 ★,190.0,South,10+ Year Old,"['Sapphire Mall', 'Omaxe City Centre', 'BigBazaar', 'Sohna Rd', 'Kinder Care Playschool', 'Kangaroo Kids Preschool', 'shiv Mandir', 'Polaris Hospital', 'Medanta Hospital', 'Artemis Hospital', 'HDFC Bank', 'Radisson Hotel', 'SRS Cinemas']","['Green Area5 out of 5', 'Construction5 out of 5', 'Management4 out of 5', 'Amenities4.5 out of 5', 'Connectivity4 out of 5']",flat,,1600.0,10526.0,14.0,,3.0,3.0,3.0,0,0,1
Ireo Skyon4.0 ★,370.0,South,1 to 5 Year Old,"['Sector 55-56 Metro', 'Golf Course Extension', 'Adarsh Senior Secondary School', 'Swastik Hospital Sec 66', 'IGI Airport', 'Surajgarh Gurgaon, Golf Course Ext Rd', 'International Tech Park Gurgaon,']","['Green Area5 out of 5', 'Construction5 out of 5', 'Management5 out of 5', 'Amenities5 out of 5', 'Connectivity5 out of 5']",flat,,2800.03932,13214.0,39.0,,4.0,5.0,3.0,0,0,1
Ireo Skyon4.0 ★,375.0,South,1 to 5 Year Old,"['Sector 55-56 Metro', 'Golf Course Extension', 'Adarsh Senior Secondary School', 'Swastik Hospital Sec 66', 'IGI Airport', 'Surajgarh Gurgaon, Golf Course Ext Rd', 'International Tech Park Gurgaon,']","['Green Area5 out of 5', 'Construction5 out of 5', 'Management5 out of 5', 'Amenities5 out of 5', 'Connectivity5 out of 5']",flat,,2800.03932,13392.0,39.0,,4.0,5.0,3.0,0,0,1
M3M Merlin3.7 ★,340.0,South,1 to 5 Year Old,"['Airia Mall', 'Golf Course Extension Road', 'Alpine Convent School', 'DPG Institute of Technology', 'MKD Hospital', 'Indira Gandhi International Airport', 'Lemon Tree Hotel, Sohna Road', 'SkyJumper Trampoline Park', 'DLF Golf and Country Club', 'PVR Drive in Theatre']","['Green Area4 out of 5', 'Construction4 out of 5', 'Management4 out of 5', 'Amenities5 out of 5', 'Connectivity4 out of 5']",flat,,1900.0,14418.0,21.0,,3.0,4.0,3.0,0,0,1
ATS Kocoon,220.00000000000003,North-East,1 to 5 Year Old,"['Jagdish Super Market', 'Dwarka', 'Euro International School', 'Gyaananda School', 'SCR Model School', 'Radha Krishan Mandir', 'ICICI BANK ATM, Annapurna MKT', 'ESIC Dispensary', 'IGIA Airport', 'Canara Bank New Palam Vihar', 'Gurgaon Gramin Bank', 'Daultabad Stadium', 'Bharat Petroleum Shree Shyam Filling', 'The Club, International City', 'Conscient One']","['Green Area5 out of 5', 'Construction5 out of 5', 'Management5 out of 5', 'Amenities5 out of 5', 'Connectivity4 out of 5']",flat,,1860.0,10023.0,24.0,,3.0,4.0,3.0,0,0,1
Vatika Gurgaon 213.7 ★,83.0,North,1 to 5 Year Old,"['Huda Metro Station (Gurugram)', 'Sapphire 83 Mall', 'Vatika Sector Road', 'Gurgaon - Delhi Expy', 'Dwarka Expy', 'Euro International School, Sec 84', 'DPG Degree College', 'Aarvy Healthcare Super Speciality', 'Indira Gandhi Intl Airport', 'Garhi Harsaru Junction']","['Green Area5 out of 5', 'Construction4.5 out of 5', 'Management4 out of 5', 'Amenities3.5 out of 5', 'Connectivity4 out of 5']",flat,,1154.0,6666.0,18.0,,2.0,2.0,2.0,0,0,0
Emaar Gurgaon Greens4.1 ★,145.0,North-East,1 to 5 Year Old,"['JMS Marine Square Mall', 'Dwarka Expressway', 'Basai Road', 'Prime Scholars Int. School', 'DPG Institute of Technology', 'Vibrant Hospital', 'Indira Gandhi International Airport', 'IMT Manesar', 'SkyJumper Trampoline Park', 'Ramgarh Farms & Resort']","['Green Area5 out of 5', 'Construction4 out of 5', 'Management5 out of 5', 'Amenities5 out of 5', 'Connectivity4 out of 5']",flat,,1650.0135599999999,8787.0,14.0,,3.0,3.0,3.0,0,0,0
Shapoorji Pallonji Joyville Gurugram4.0 ★,177.0,North-East,1 to 5 Year Old,"['Khan Market', 'The Esplanade Mall', 'Dwarka Expressway', 'Garhi Road', 'Delhi Public School', 'SGT University', 'Aryan Hospital', 'Indira Gandhi Int. Airport', 'Basai Dhankot', 'The Executive Centre', 'Inde Hotels & Resorts', 'Appu Ghar', 'DLF Golf and Country Club']","['Green Area4 out of 5', 'Construction5 out of 5', 'Management4 out of 5', 'Amenities5 out of 5', 'Connectivity4 out of 5']",flat,,1826.9737199999997,9195.0,26.0,,3.0,3.0,3.0,0,0,1
Shapoorji Pallonji Joyville Gurugram4.0 ★,97.0,North-East,1 to 5 Year Old,"['Khan Market', 'The Esplanade Mall', 'Dwarka Expressway', 'Garhi Road', 'Delhi Public School', 'SGT University', 'Aryan Hospital', 'Indira Gandhi Int. Airport', 'Basai Dhankot', 'The Executive Centre', 'Inde Hotels & Resorts', 'Appu Ghar', 'DLF Golf and Country Club']","['Green Area4 out of 5', 'Construction5 out of 5', 'Management4 out of 5', 'Amenities5 out of 5', 'Connectivity4 out of 5']",flat,,589.49,16454.0,26.0,,2.0,2.0,2.0,0,0,0
Adani M2K Oyster Grande3.9 ★,235.0,East,1 to 5 Year Old,"['WTC Plaza', 'Star Mall', 'Dwarka Expy, Dhanwapur Village', 'Prime Scholars International School', 'Euro International School, Sector 37D', 'Delhi Public School, Sector 103', 'SGT University', 'Shri Balaji’s Multispeciality Hospital', 'Indira Gandhi Intl Airport', 'DLF World Tech Park', 'Park Inn, Gurgaon']","['Green Area5 out of 5', 'Construction4.5 out of 5', 'Management4.5 out of 5', 'Amenities4 out of 5', 'Connectivity4 out of 5']",flat,,2597.99904,8468.0,24.0,,3.0,3.0,3.0,0,0,1
Adani M2K Oyster Grande3.9 ★,190.0,North-East,1 to 5 Year Old,"['WTC Plaza', 'Star Mall', 'Dwarka Expy, Dhanwapur Village', 'Prime Scholars International School', 'Euro International School, Sector 37D', 'Delhi Public School, Sector 103', 'SGT University', 'Shri Balaji’s Multispeciality Hospital', 'Indira Gandhi Intl Airport', 'DLF World Tech Park', 'Park Inn, Gurgaon']","['Green Area5 out of 5', 'Construction4.5 out of 5', 'Management4.5 out of 5', 'Amenities4 out of 5', 'Connectivity4 out of 5']",flat,,1888.97436,9105.0,24.0,,3.0,4.0,3.0,0,0,1
Pyramid Urban Homes 2,43.0,North-East,0 to 1 Year Old,"['Sapphire 83 Mall', 'Rampura Flyover, Naurangpur Rd', 'Manesar toll plaza - Kherki Daula', ""St. Xavier's High School"", 'Imt Manesar, Gurugram', 'Aarvy Healthcare Super Speciality', 'Indira Gandhi Intl Airport', 'Minda Industries  Corporate Office', 'Holiday Inn', 'Nakhrola Stadium']","['Environment5 out of 5', 'Lifestyle5 out of 5', 'Connectivity4.5 out of 5', 'Safety4.5 out of 5']",flat,,500.95655999999997,8582.0,13.0,,2.0,2.0,1.0,0,0,0
Shree Vardhman Victoria3.8 ★,162.0,North,1 to 5 Year Old,"['Airia Mall', 'Golf Course Extn Road', 'Sohna Road', 'Southern Peripheral Rd, Gurugram', 'Kunskapsskolan International', 'Ektaa Hospitals  Main Sohna Rd', 'Sanjeevani Hospital - Child Specialist', 'Federal Bank Sector 71', 'Central Bank Of India Sohna Rd', 'Axis Bank, Sohna Rd', 'Spaze Palazo, Golf Course Ext Rd', 'VATIKA BUSINESS PARK Sohna Rd', 'The Medicity, Spaze iTech Park', 'Tulip Violet Society, Sector 69', 'IndianOil, Hasanpur']","['Green Area5 out of 5', 'Construction5 out of 5', 'Management4.5 out of 5', 'Amenities4.5 out of 5', 'Connectivity3.5 out of 5']",flat,,1161.0,8307.0,18.0,,3.0,5.0,3.0,0,0,1
SS The Leaf3.8 ★,193.0,North-East,1 to 5 Year Old,"['Sapphire 83 Mall', 'Dwarka Expressway', 'Central Peripheral Road', 'NH 08', 'Pataudi Road', 'Delhi Public School Sector 84', 'DPG Institute of Technology', 'Genesis Hospital Sector 84', 'Indira Gandhi International Airport', 'Imt Manesar', 'Holiday Inn Hotel Sector 90', 'SkyJumper Trampoline Park', 'Nakhrola Stadium Sector 81A']","['Green Area4.5 out of 5', 'Construction4.5 out of 5', 'Management4 out of 5', 'Amenities4 out of 5', 'Connectivity4.5 out of 5']",flat,,2400.0,8075.0,26.0,,3.0,4.0,3.0,0,0,1
SS The Leaf3.8 ★,199.0,East,1 to 5 Year Old,"['Sapphire 83 Mall', 'Dwarka Expressway', 'Central Peripheral Road', 'NH 08', 'Pataudi Road', 'Delhi Public School Sector 84', 'DPG Institute of Technology', 'Genesis Hospital Sector 84', 'Indira Gandhi International Airport', 'Imt Manesar', 'Holiday Inn Hotel Sector 90', 'SkyJumper Trampoline Park', 'Nakhrola Stadium Sector 81A']","['Green Area4.5 out of 5', 'Construction4.5 out of 5', 'Management4 out of 5', 'Amenities4 out of 5', 'Connectivity4.5 out of 5']",flat,,2398.0,8659.0,26.0,,3.0,4.0,3.0,0,0,1
Shree Vardhman Victoria3.8 ★,123.0,North-East,1 to 5 Year Old,"['Airia Mall', 'Golf Course Extn Road', 'Sohna Road', 'Southern Peripheral Rd, Gurugram', 'Kunskapsskolan International', 'Ektaa Hospitals  Main Sohna Rd', 'Sanjeevani Hospital - Child Specialist', 'Federal Bank Sector 71', 'Central Bank Of India Sohna Rd', 'Axis Bank, Sohna Rd', 'Spaze Palazo, Golf Course Ext Rd', 'VATIKA BUSINESS PARK Sohna Rd', 'The Medicity, Spaze iTech Park', 'Tulip Violet Society, Sector 69', 'IndianOil, Hasanpur']","['Green Area5 out of 5', 'Construction5 out of 5', 'Management4.5 out of 5', 'Amenities4.5 out of 5', 'Connectivity3.5 out of 5']",flat,,1350.02088,9111.0,18.0,,2.0,2.0,3.0,0,0,0
Shree Vardhman Victoria3.8 ★,163.0,East,1 to 5 Year Old,"['Airia Mall', 'Golf Course Extn Road', 'Sohna Road', 'Southern Peripheral Rd, Gurugram', 'Kunskapsskolan International', 'Ektaa Hospitals  Main Sohna Rd', 'Sanjeevani Hospital - Child Specialist', 'Federal Bank Sector 71', 'Central Bank Of India Sohna Rd', 'Axis Bank, Sohna Rd', 'Spaze Palazo, Golf Course Ext Rd', 'VATIKA BUSINESS PARK Sohna Rd', 'The Medicity, Spaze iTech Park', 'Tulip Violet Society, Sector 69', 'IndianOil, Hasanpur']","['Green Area5 out of 5', 'Construction5 out of 5', 'Management4.5 out of 5', 'Amenities4.5 out of 5', 'Connectivity3.5 out of 5']",flat,,1161.0,8358.0,18.0,,3.0,5.0,3.0,0,0,1
Shree Vardhman Victoria3.8 ★,164.0,North,1 to 5 Year Old,"['Airia Mall', 'Golf Course Extn Road', 'Sohna Road', 'Southern Peripheral Rd, Gurugram', 'Kunskapsskolan International', 'Ektaa Hospitals  Main Sohna Rd', 'Sanjeevani Hospital - Child Specialist', 'Federal Bank Sector 71', 'Central Bank Of India Sohna Rd', 'Axis Bank, Sohna Rd', 'Spaze Palazo, Golf Course Ext Rd', 'VATIKA BUSINESS PARK Sohna Rd', 'The Medicity, Spaze iTech Park', 'Tulip Violet Society, Sector 69', 'IndianOil, Hasanpur']","['Green Area5 out of 5', 'Construction5 out of 5', 'Management4.5 out of 5', 'Amenities4.5 out of 5', 'Connectivity3.5 out of 5']",flat,,1161.0,8384.0,18.0,,3.0,5.0,3.0,0,0,1
Shree Vardhman Victoria3.8 ★,125.0,East,1 to 5 Year Old,"['Airia Mall', 'Golf Course Extn Road', 'Sohna Road', 'Southern Peripheral Rd, Gurugram', 'Kunskapsskolan International', 'Ektaa Hospitals  Main Sohna Rd', 'Sanjeevani Hospital - Child Specialist', 'Federal Bank Sector 71', 'Central Bank Of India Sohna Rd', 'Axis Bank, Sohna Rd', 'Spaze Palazo, Golf Course Ext Rd', 'VATIKA BUSINESS PARK Sohna Rd', 'The Medicity, Spaze iTech Park', 'Tulip Violet Society, Sector 69', 'IndianOil, Hasanpur']","['Green Area5 out of 5', 'Construction5 out of 5', 'Management4.5 out of 5', 'Amenities4.5 out of 5', 'Connectivity3.5 out of 5']",flat,,1350.02088,9259.0,18.0,,2.0,2.0,3.0,0,0,0
SBTL Caladium,190.0,North-East,1 to 5 Year Old,"['Palam Vihar Vyapar kendra', 'Chirag Hospital Pvt. Ltd', 'R K Hospital Gurgaon', 'Kalyan Hospital Gurgaon', 'Bhardwaj Hospital', 'Dr. Hitesh Dawar', 'Jiya Clinic', 'Dr. Mittal Clinic', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station']","['Environment5 out of 5', 'Lifestyle4 out of 5', 'Connectivity3.5 out of 5', 'Safety4.5 out of 5']",flat,,3055.0384799999997,6219.0,19.0,,4.0,4.0,3.0,0,0,1
SBTL Caladium,120.0,South,1 to 5 Year Old,"['Palam Vihar Vyapar kendra', 'Chirag Hospital Pvt. Ltd', 'R K Hospital Gurgaon', 'Kalyan Hospital Gurgaon', 'Bhardwaj Hospital', 'Dr. Hitesh Dawar', 'Jiya Clinic', 'Dr. Mittal Clinic', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station']","['Environment5 out of 5', 'Lifestyle4 out of 5', 'Connectivity3.5 out of 5', 'Safety4.5 out of 5']",flat,,1880.0402399999998,6382.0,19.0,,3.0,2.0,2.0,0,0,0
SBTL Caladium,163.0,North-West,1 to 5 Year Old,"['Palam Vihar Vyapar kendra', 'Chirag Hospital Pvt. Ltd', 'R K Hospital Gurgaon', 'Kalyan Hospital Gurgaon', 'Bhardwaj Hospital', 'Dr. Hitesh Dawar', 'Jiya Clinic', 'Dr. Mittal Clinic', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station']","['Environment5 out of 5', 'Lifestyle4 out of 5', 'Connectivity3.5 out of 5', 'Safety4.5 out of 5']",flat,,2545.04016,6404.0,19.0,,3.0,3.0,2.0,0,0,1
DLF Regal Gardens3.9 ★,123.0,North,1 to 5 Year Old,"['SS Omnia, Sector 86', 'Numberdar market, IMT Manesar', ""Sodhi's Supermarket, Sector 82"", 'RPS International School', 'RHM Public School', 'ICICI Bank ATM, Sector 86', 'Silver Streak Multi Speciality', 'Aarvy Healthcare Super Speciality', 'Miracles Apollo Cradle Hospital', 'HDFC Bank, Pataudi Rd', 'Canara Bank - Nawada Fatehpur', 'State Bank of India', 'Minda Industries Nawada Fatehpur', 'Holiday Inn Gurugram Sector 90', 'M3M SCO Shop cum Office']","['Green Area5 out of 5', 'Construction4.5 out of 5', 'Management4 out of 5', 'Amenities5 out of 5', 'Connectivity4 out of 5']",flat,,1743.98328,7052.0,29.0,,3.0,3.0,2.0,0,0,0
Pyramid Urban Homes 2,43.0,North-East,0 to 1 Year Old,"['Sapphire 83 Mall', 'Rampura Flyover, Naurangpur Rd', 'Manesar toll plaza - Kherki Daula', ""St. Xavier's High School"", 'Imt Manesar, Gurugram', 'Aarvy Healthcare Super Speciality', 'Indira Gandhi Intl Airport', 'Minda Industries  Corporate Office', 'Holiday Inn', 'Nakhrola Stadium']","['Environment5 out of 5', 'Lifestyle5 out of 5', 'Connectivity4.5 out of 5', 'Safety4.5 out of 5']",flat,,500.95655999999997,8582.0,13.0,,2.0,2.0,1.0,0,0,0
SS The Leaf3.8 ★,107.0,South,1 to 5 Year Old,"['Sapphire 83 Mall', 'Dwarka Expressway', 'Central Peripheral Road', 'NH 08', 'Pataudi Road', 'Delhi Public School Sector 84', 'DPG Institute of Technology', 'Genesis Hospital Sector 84', 'Indira Gandhi International Airport', 'Imt Manesar', 'Holiday Inn Hotel Sector 90', 'SkyJumper Trampoline Park', 'Nakhrola Stadium Sector 81A']","['Green Area4.5 out of 5', 'Construction4.5 out of 5', 'Management4 out of 5', 'Amenities4 out of 5', 'Connectivity4.5 out of 5']",flat,,1640.00304,6524.0,26.0,,2.0,2.0,3.0,0,0,0
